"COCNUM","pop","CoC Name","CoC Category","Overall Homeless, 2022","homeless_ratio","is_king","class"
"AK-500",287145,"Anchorage CoC","Other Largely Urban CoC",1494,52,"FALSE","9"
"AK-501",414143,"Alaska Balance of State CoC","Largely Rural CoC",826,19.9,"FALSE","4"
"AL-500",989456,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Largely Suburban CoC",943,9.5,"FALSE","2"
"AL-501",657846,"Mobile City & County/Baldwin County CoC","Other Largely Urban CoC",585,8.9,"FALSE","2"
"AL-502",271968,"Florence/Northwest Alabama CoC","Largely Rural CoC",232,8.5,"FALSE","2"
"AL-503",638676,"Huntsville/North Alabama CoC","Other Largely Urban CoC",549,8.6,"FALSE","2"
"AL-504",226361,"Montgomery City & County CoC","Other Largely Urban CoC",278,12.3,"FALSE","3"
"AL-506",236780,"Tuscaloosa City & County CoC","Other Largely Urban CoC",40,1.7,"FALSE","1"
"AL-507",1509177,"Alabama Balance of State CoC","Largely Rural CoC",935,6.2,"FALSE","2"
"AR-500",609796,"Little Rock/Central Arkansas CoC","Other Largely Urban CoC",859,14.1,"FALSE","3"
"AR-501",605145,"Fayetteville/Northwest Arkansas CoC","Other Largely Urban CoC",343,5.7,"FALSE","2"
"AR-503",841818,"Arkansas  Balance of State  CoC","Largely Rural CoC",814,9.7,"FALSE","2"
"AR-505",278248,"Southeast Arkansas CoC","Largely Rural CoC",69,2.5,"FALSE","1"
"AZ-500",1750076,"Arizona Balance of State CoC","Largely Rural CoC",2300,13.1,"FALSE","3"
"AZ-501",1057597,"Tucson/Pima County CoC","Major City CoC",2227,21.1,"FALSE","5"
"AZ-502",4551524,"Phoenix, Mesa/Maricopa County CoC","Major City CoC",9026,19.8,"FALSE","4"
"CA-500",1870945,"San Jose/Santa Clara City & County CoC","Major City CoC",10028,53.6,"FALSE","9"
"CA-501",808437,"San Francisco CoC","Major City CoC",7754,95.9,"FALSE","9"
"CA-502",1628997,"Oakland, Berkeley/Alameda County CoC","Major City CoC",9747,59.8,"FALSE","9"
"CA-503",1584169,"Sacramento City & County CoC","Major City CoC",9278,58.6,"FALSE","9"
"CA-504",482650,"Santa Rosa, Petaluma/Sonoma County CoC","Other Largely Urban CoC",2893,59.9,"FALSE","9"
"CA-505",1156966,"Richmond/Contra Costa County CoC","Largely Suburban CoC",3093,26.7,"FALSE","6"
"CA-506",500437,"Salinas/Monterey, San Benito Counties CoC","Largely Rural CoC",2404,48,"FALSE","9"
"CA-507",256018,"Marin County CoC","Largely Suburban CoC",1121,43.8,"FALSE","9"
"CA-508",264370,"Watsonville/Santa Cruz City & County CoC","Largely Suburban CoC",2299,87,"FALSE","9"
"CA-509",89783,"Mendocino County CoC","Largely Rural CoC",830,92.4,"FALSE","9"
"CA-510",551275,"Turlock, Modesto/Stanislaus County CoC","Largely Suburban CoC",1857,33.7,"FALSE","7"
"CA-511",793229,"Stockton/San Joaquin County CoC","Largely Suburban CoC",2319,29.2,"FALSE","6"
"CA-512",729181,"Daly/San Mateo County CoC","Largely Suburban CoC",1808,24.8,"FALSE","5"
"CA-513",630525,"Visalia/Kings, Tulare Counties CoC","Largely Suburban CoC",1235,19.6,"FALSE","4"
"CA-514",1175446,"Fresno City & County/Madera County CoC","Major City CoC",4216,35.9,"FALSE","8"
"CA-515",520065,"Roseville, Rocklin/Placer County CoC","Largely Suburban CoC",750,14.4,"FALSE","3"
"CA-516",312655,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Largely Rural CoC",1837,58.8,"FALSE","9"
"CA-517",134300,"Napa City & County CoC","Other Largely Urban CoC",495,36.9,"FALSE","8"
"CA-518",448747,"Vallejo/Solano County CoC","Largely Suburban CoC",1179,26.3,"FALSE","6"
"CA-519",207303,"Chico, Paradise/Butte County CoC","Largely Rural CoC",1006,48.5,"FALSE","9"
"CA-520",290014,"Merced City & County CoC","Largely Suburban CoC",855,29.5,"FALSE","6"
"CA-521",222115,"Davis, Woodland/Yolo County CoC","Largely Suburban CoC",746,33.6,"FALSE","7"
"CA-522",135010,"Humboldt County CoC","Largely Rural CoC",1648,122.1,"FALSE","9"
"CA-523",66034,"Colusa, Glenn, Trinity Counties CoC","Largely Rural CoC",340,51.5,"FALSE","9"
"CA-524",182813,"Yuba City & County/Sutter County CoC","Largely Suburban CoC",1094,59.8,"FALSE","9"
"CA-525",192646,"El Dorado County CoC","Largely Suburban CoC",511,26.5,"FALSE","6"
"CA-526",159526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Largely Rural CoC",625,39.2,"FALSE","8"
"CA-527",65245,"Tehama County CoC","Largely Rural CoC",291,44.6,"FALSE","9"
"CA-529",68191,"Lake County CoC","Largely Rural CoC",339,49.7,"FALSE","9"
"CA-530",32886,"Alpine, Inyo, Mono Counties CoC","Largely Rural CoC",140,42.6,"FALSE","9"
"CA-600",9721138,"Los Angeles City & County CoC","Major City CoC",65111,67,"FALSE","9"
"CA-601",3276208,"San Diego City and County CoC","Major City CoC",8427,25.7,"FALSE","6"
"CA-602",3151184,"Santa Ana, Anaheim/Orange County CoC","Largely Suburban CoC",5718,18.1,"FALSE","4"
"CA-603",443837,"Santa Maria/Santa Barbara County CoC","Largely Suburban CoC",1962,44.2,"FALSE","9"
"CA-604",916108,"Bakersfield/Kern County CoC","Major City CoC",1603,17.5,"FALSE","4"
"CA-608",2473902,"Riverside City & County CoC","Largely Suburban CoC",3316,13.4,"FALSE","3"
"CA-609",2193656,"San Bernardino City & County CoC","Largely Suburban CoC",3333,15.2,"FALSE","4"
"CA-611",832605,"Oxnard, San Buenaventura/Ventura County CoC","Other Largely Urban CoC",2248,27,"FALSE","6"
"CA-613",178713,"Imperial County CoC","Largely Suburban CoC",1057,59.1,"FALSE","9"
"CA-614",282013,"San Luis Obispo County CoC","Largely Suburban CoC",1448,51.3,"FALSE","9"
"CO-500",1841113,"Colorado Balance of State CoC","Largely Rural CoC",1315,7.1,"FALSE","2"
"CO-503",3252355,"Metropolitan Denver CoC","Major City CoC",6884,21.2,"FALSE","5"
"CO-504",740567,"Colorado Springs/El Paso County CoC","Major City CoC",1406,19,"FALSE","4"
"DC-500",1343606,"District of Columbia CoC","Major City CoC",4410,32.8,"FALSE","7"
"DE-500",1018396,"Delaware Statewide CoC","Largely Suburban CoC",2369,23.3,"FALSE","5"
"FL-500",891411,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC","Largely Suburban CoC",1138,12.8,"FALSE","3"
"FL-501",1513301,"Tampa/Hillsborough County CoC","Largely Suburban CoC",1513,10,"FALSE","3"
"FL-502",961739,"St. Petersburg, Clearwater, Largo/Pinellas County CoC","Other Largely Urban CoC",1985,20.6,"FALSE","5"
"FL-503",787404,"Lakeland, Winterhaven/Polk County CoC","Largely Suburban CoC",506,6.4,"FALSE","2"
"FL-504",705897,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC","Largely Suburban CoC",865,12.3,"FALSE","3"
"FL-505",299786,"Fort Walton Beach/Okaloosa, Walton Counties CoC","Largely Suburban CoC",403,13.4,"FALSE","3"
"FL-506",450574,"Tallahassee/Leon County CoC","Other Largely Urban CoC",621,13.8,"FALSE","3"
"FL-507",2354043,"Orlando/Orange, Osceola, Seminole Counties CoC","Largely Suburban CoC",2151,9.1,"FALSE","2"
"FL-508",450326,"Gainesville/Alachua, Putnam Counties CoC","Largely Rural CoC",925,20.5,"FALSE","5"
"FL-509",688062,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","Largely Suburban CoC",846,12.3,"FALSE","3"
"FL-510",1341024,"Jacksonville-Duval, Clay Counties CoC","Major City CoC",1279,9.5,"FALSE","2"
"FL-511",523146,"Pensacola/Escambia, Santa Rosa Counties CoC","Largely Suburban CoC",727,13.9,"FALSE","3"
"FL-512",306841,"St. Johns County CoC","Largely Suburban CoC",349,11.4,"FALSE","3"
"FL-513",630693,"Palm Bay, Melbourne/Brevard County CoC","Largely Suburban CoC",916,14.5,"FALSE","3"
"FL-514",396415,"Ocala/Marion County CoC","Largely Suburban CoC",455,11.5,"FALSE","3"
"FL-515",307188,"Panama City/Bay, Jackson Counties CoC","Largely Rural CoC",378,12.3,"FALSE","3"
"FL-517",260780,"Hendry, Hardee, Highlands Counties CoC","Largely Rural CoC",650,24.9,"FALSE","5"
"FL-518",138322,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Largely Rural CoC",488,35.3,"FALSE","8"
"FL-519",608794,"Pasco County CoC","Largely Suburban CoC",589,9.7,"FALSE","2"
"FL-520",924534,"Citrus, Hernando, Lake, Sumter Counties CoC","Largely Suburban CoC",745,8.1,"FALSE","2"
"FL-600",2673837,"Miami-Dade County CoC","Major City CoC",3276,12.3,"FALSE","3"
"FL-601",1947026,"Ft Lauderdale/Broward County CoC","Largely Suburban CoC",2054,10.5,"FALSE","3"
"FL-602",202661,"Punta Gorda/Charlotte County CoC","Largely Suburban CoC",148,7.3,"FALSE","2"
"FL-603",822453,"Ft Myers, Cape Coral/Lee County CoC","Largely Suburban CoC",560,6.8,"FALSE","2"
"FL-604",81708,"Monroe County CoC","Largely Rural CoC",526,64.4,"FALSE","9"
"FL-605",1518477,"West Palm Beach/Palm Beach County CoC","Largely Suburban CoC",1404,9.2,"FALSE","2"
"FL-606",397994,"Naples/Collier County CoC","Largely Suburban CoC",462,11.6,"FALSE","3"
"GA-501",6875313,"Georgia Balance of State CoC","Largely Rural CoC",5856,8.5,"FALSE","2"
"GA-502",1074634,"Fulton County CoC","Largely Suburban CoC",273,2.5,"FALSE","1"
"GA-505",261171,"Columbus-Muscogee CoC","Other Largely Urban CoC",243,9.3,"FALSE","2"
"GA-506",771952,"Marietta/Cobb County CoC","Largely Suburban CoC",380,4.9,"FALSE","1"
"GA-507",301107,"Savannah/Chatham County CoC","Other Largely Urban CoC",523,17.4,"FALSE","4"
"GA-508",762820,"DeKalb County CoC","Largely Suburban CoC",565,7.4,"FALSE","2"
"HI-500",444476,"Hawaii Balance of State CoC","Largely Rural CoC",2022,45.5,"FALSE","9"
"HI-501",995638,"Honolulu City and County CoC","Largely Suburban CoC",3945,39.6,"FALSE","8"
"IA-500",126713,"Sioux City/Dakota, Woodbury Counties CoC","Other Largely Urban CoC",212,16.7,"FALSE","4"
"IA-501",2338241,"Iowa Balance of State CoC","Largely Rural CoC",1601,6.8,"FALSE","2"
"IA-502",663432,"Des Moines/Polk County CoC","Other Largely Urban CoC",606,9.1,"FALSE","2"
"ID-500",518907,"Boise/Ada County CoC","Other Largely Urban CoC",620,11.9,"FALSE","3"
"ID-501",1420126,"Idaho Balance of State CoC","Largely Rural CoC",1378,9.7,"FALSE","2"
"IL-501",335342,"Rockford/DeKalb, Winnebago, Boone Counties CoC","Largely Suburban CoC",406,12.1,"FALSE","3"
"IL-502",1020897,"Waukegan, North Chicago/Lake County CoC","Largely Suburban CoC",431,4.2,"FALSE","1"
"IL-503",206542,"Champaign, Urbana, Rantoul/Champaign County CoC","Other Largely Urban CoC",137,6.6,"FALSE","2"
"IL-504",263864,"Madison County CoC","Largely Suburban CoC",96,3.6,"FALSE","1"
"IL-506",190295,"Joliet, Bolingbrook/Will County CoC","Largely Suburban CoC",219,11.5,"FALSE","3"
"IL-507",379443,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC","Largely Suburban CoC",337,8.9,"FALSE","2"
"IL-508",287704,"East St. Louis, Belleville/St. Clair County CoC","Largely Suburban CoC",197,6.8,"FALSE","2"
"IL-512",509288,"Bloomington/Central Illinois CoC","Largely Rural CoC",241,4.7,"FALSE","1"
"IL-513",194534,"Springfield/Sangamon County CoC","Other Largely Urban CoC",264,13.6,"FALSE","3"
"IL-515",382542,"South Central Illinois CoC","Largely Rural CoC",157,4.1,"FALSE","1"
"IL-516",101483,"Decatur/Macon County CoC","Other Largely Urban CoC",93,9.2,"FALSE","2"
"IL-517",7341364,"Aurora, Elgin/Kane County CoC","Largely Suburban CoC",391,0.5,"FALSE","1"
"IL-518",638362,"Rock Island, Moline/Northwestern Illinois CoC","Largely Rural CoC",280,4.4,"FALSE","1"
"IL-519",208551,"West Central Illinois CoC","Largely Rural CoC",97,4.7,"FALSE","1"
"IL-520",521821,"Southern Illinois CoC","Largely Rural CoC",248,4.8,"FALSE","1"
"IN-502",5857457,"Indiana Balance of State CoC","Largely Rural CoC",3688,6.3,"FALSE","2"
"IN-503",969466,"Indianapolis CoC","Major City CoC",1761,18.2,"FALSE","4"
"KS-502",525525,"Wichita/Sedgwick County CoC","Major City CoC",690,13.1,"FALSE","3"
"KS-503",177480,"Topeka/Shawnee County CoC","Other Largely Urban CoC",365,20.6,"FALSE","5"
"KS-505",654062,"Overland Park, Shawnee/Johnson County CoC","Largely Suburban CoC",212,3.2,"FALSE","1"
"KS-507",1414337,"Kansas Balance of State CoC","Largely Rural CoC",929,6.6,"FALSE","2"
"KY-500",3407572,"Kentucky Balance of State CoC","Largely Rural CoC",2189,6.4,"FALSE","2"
"LA-500",642673,"Lafayette/Acadiana CoC","Largely Rural CoC",351,5.5,"FALSE","2"
"LA-502",454602,"Shreveport, Bossier/Northwest Louisiana CoC","Other Largely Urban CoC",255,5.6,"FALSE","2"
"LA-503",369749,"New Orleans/Jefferson Parish CoC","Other Largely Urban CoC",1214,32.8,"FALSE","7"
"LA-505",344314,"Monroe/Northeast Louisiana CoC","Largely Rural CoC",136,3.9,"FALSE","1"
"LA-506",341320,"Slidell/Southeast Louisiana CoC","Largely Suburban CoC",611,17.9,"FALSE","4"
"LA-507",275074,"Alexandria/Central Louisiana CoC","Largely Rural CoC",75,2.7,"FALSE","1"
"LA-509",1117088,"Louisiana Balance of State CoC","Largely Suburban CoC",4731,42.4,"FALSE","9"
"MA-500",766381,"Boston CoC","Major City CoC",4439,57.9,"FALSE","9"
"MA-502",806765,"Lynn CoC","Largely Suburban CoC",851,10.5,"FALSE","3"
"MA-503",267746,"Cape Cod Islands CoC","Largely Suburban CoC",397,14.8,"FALSE","3"
"MA-504",461041,"Springfield/Hampden County CoC","Largely Suburban CoC",2294,49.8,"FALSE","9"
"MA-506",862927,"Worcester City & County CoC","Largely Suburban CoC",1277,14.8,"FALSE","3"
"MA-507",361341,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC","Largely Suburban CoC",542,15,"FALSE","4"
"MA-511",1258600,"Quincy, Brockton, Weymouth, Plymouth City and County CoC","Largely Suburban CoC",1008,8,"FALSE","2"
"MA-515",580068,"Fall River CoC","Largely Suburban CoC",361,6.2,"FALSE","2"
"MD-501",569931,"Baltimore CoC","Major City CoC",1597,28,"FALSE","6"
"MD-503",593286,"Annapolis/Anne Arundel County CoC","Largely Suburban CoC",307,5.2,"FALSE","2"
"MD-504",335411,"Howard County CoC","Largely Suburban CoC",165,4.9,"FALSE","1"
"MD-505",846161,"Baltimore County CoC","Largely Suburban CoC",468,5.5,"FALSE","2"
"MD-506",175305,"Carroll County CoC","Largely Suburban CoC",76,4.3,"FALSE","1"
"MD-509",287079,"Frederick City & County CoC","Largely Suburban CoC",216,7.5,"FALSE","2"
"MD-511",175122,"Mid-Shore Regional CoC","Largely Rural CoC",116,6.6,"FALSE","2"
"MD-513",183076,"Wicomico, Somerset, Worcester Counties CoC","Largely Rural CoC",237,12.9,"FALSE","3"
"MD-600",946971,"Prince George's County CoC","Largely Suburban CoC",533,5.6,"FALSE","2"
"MD-601",1052521,"Montgomery County CoC","Largely Suburban CoC",581,5.5,"FALSE","2"
"ME-500",1385340,"Maine Statewide CoC","Largely Rural CoC",4411,31.8,"FALSE","7"
"MI-500",2185781,"Michigan Balance of State CoC","Largely Rural CoC",1585,7.3,"FALSE","2"
"MI-501",1757043,"Detroit CoC","Major City CoC",1691,9.6,"FALSE","2"
"MI-503",874195,"St. Clair Shores, Warren/Macomb County CoC","Largely Suburban CoC",272,3.1,"FALSE","1"
"MI-504",1269431,"Pontiac, Royal Oak/Oakland County CoC","Largely Suburban CoC",320,2.5,"FALSE","1"
"MI-505",401983,"Flint/Genesee County CoC","Largely Suburban CoC",360,9,"FALSE","2"
"MI-506",659083,"Grand Rapids, Wyoming/Kent County CoC","Largely Suburban CoC",1044,15.8,"FALSE","4"
"MI-507",261173,"Portage, Kalamazoo City & County CoC","Other Largely Urban CoC",488,18.7,"FALSE","4"
"MI-508",472848,"Lansing, East Lansing/Ingham County CoC","Other Largely Urban CoC",515,10.9,"FALSE","3"
"MI-509",366376,"Washtenaw County CoC","Largely Suburban CoC",211,5.8,"FALSE","2"
"MI-510",188330,"Saginaw City & County CoC","Largely Suburban CoC",313,16.6,"FALSE","4"
"MI-511",98567,"Lenawee County CoC","Largely Rural CoC",158,16,"FALSE","4"
"MI-512",180062,"Grand Traverse, Antrim, Leelanau Counties CoC","Largely Rural CoC",164,9.1,"FALSE","2"
"MI-514",133289,"Battle Creek/Calhoun County CoC","Other Largely Urban CoC",218,16.4,"FALSE","4"
"MI-515",155609,"Monroe City & County CoC","Largely Suburban CoC",111,7.1,"FALSE","2"
"MI-516",176565,"Norton Shores, Muskegon City & County CoC","Largely Suburban CoC",135,7.6,"FALSE","2"
"MI-517",160066,"Jackson City & County CoC","Largely Rural CoC",90,5.6,"FALSE","2"
"MI-518",196161,"Livingston County CoC","Largely Suburban CoC",97,4.9,"FALSE","1"
"MI-519",422083,"Holland/Ottawa County CoC","Largely Suburban CoC",200,4.7,"FALSE","1"
"MN-500",1260121,"Minneapolis/Hennepin County CoC","Major City CoC",2678,21.3,"FALSE","5"
"MN-501",536413,"Saint Paul/Ramsey County CoC","Other Largely Urban CoC",1713,31.9,"FALSE","7"
"MN-502",690067,"Rochester/Southeast Minnesota CoC","Largely Rural CoC",485,7,"FALSE","2"
"MN-503",1420364,"Dakota, Anoka, Washington, Scott, Carver Counties","Largely Suburban CoC",746,5.3,"FALSE","2"
"MN-504",126530,"Northeast Minnesota CoC","Largely Rural CoC",113,8.9,"FALSE","2"
"MN-505",783605,"St. Cloud/Central Minnesota CoC","Largely Rural CoC",916,11.7,"FALSE","3"
"MN-506",169646,"Northwest Minnesota CoC","Largely Rural CoC",285,16.8,"FALSE","4"
"MN-508",252623,"Moorhead/West Central Minnesota CoC","Largely Rural CoC",253,10,"FALSE","3"
"MN-509",199532,"Duluth/St.Louis County CoC","Largely Rural CoC",555,27.8,"FALSE","6"
"MN-511",278283,"Southwest Minnesota CoC","Largely Rural CoC",173,6.2,"FALSE","2"
"MO-500",990414,"St. Louis County CoC","Largely Suburban CoC",371,3.7,"FALSE","1"
"MO-501",286578,"St.Louis City CoC","Other Largely Urban CoC",1147,40,"FALSE","9"
"MO-503",514218,"St. Charles City & County, Lincoln, Warren Counties CoC","Largely Suburban CoC",425,8.3,"FALSE","2"
"MO-600",436742,"Springfield/Greene, Christian, Webster Counties CoC","Other Largely Urban CoC",517,11.8,"FALSE","3"
"MO-602",184086,"Joplin/Jasper, Newton Counties CoC","Largely Rural CoC",231,12.5,"FALSE","3"
"MO-603",112250,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Other Largely Urban CoC",148,13.2,"FALSE","3"
"MO-606",2569571,"Missouri Balance of State CoC","Largely Rural CoC",1571,6.1,"FALSE","2"
"MS-500",558190,"Jackson/Rankin, Madison Counties CoC","Largely Suburban CoC",654,11.7,"FALSE","3"
"MS-501",1878618,"Mississippi Balance of State CoC","Largely Rural CoC",342,1.8,"FALSE","1"
"MS-503",503249,"Gulf Port/Gulf Coast Regional CoC","Largely Rural CoC",200,4,"FALSE","1"
"MT-500",1122867,"Montana Statewide CoC","Largely Rural CoC",1585,14.1,"FALSE","3"
